,polygon,year,lst_day_mean,lst_day_max,lst_day_min,lst_night_mean,lst_night_max,lst_night_min
21,92127,2016,33.405801268036555,36.160000000000025,29.939999999999998,13.66337505465674,15.019999999999982,12.480000000000018
22,92127,2018,34.89037494534324,37.51999999999998,31.30000000000001,13.678225841713925,15.740000000000009,12.560000000000002
23,92127,2020,33.51526672496698,36.24000000000001,30.74000000000001,15.122205400087239,16.569999999999993,13.759999999999991
24,92121,2010,30.125482793522337,35.56,20.879999999999995,12.82468117408905,14.160000000000025,11.699999999999989
25,92121,2012,30.968587044534615,35.879999999999995,21.819999999999993,13.999158906882542,15.660000000000025,12.579999999999984
26,92121,2014,34.06937854251004,39.44,23.120000000000005,15.862455465587061,17.30000000000001,14.100000000000023
27,92121,2016,30.44879858299595,35.079999999999984,21.480000000000018,13.668560728744978,15.329999999999984,12.400000000000034
28,92121,2018,31.945630566801583,37.5,21.70999999999998,13.400710526315777,14.740000000000009,12.0
29,92121,2020,31.481656882591153,36.79000000000002,23.360000000000014,15.045841093117417,16.24000000000001,14.060000000000002
30,92128,2010,35.19943018703799,36.74000000000001,32.48000000000002,13.560606785559003,15.04000000000002,12.060000000000002
31,92128,2012,36.25012831665953,37.95999999999998,33.22000000000003,14.843360156589938,15.900000000000034,13.620000000000005
32,92128,2014,39.08819269247505,40.28000000000003,36.639999999999986,16.376850804697767,17.0,13.720000000000027
33,92128,2016,34.770293605915754,36.639999999999986,32.51999999999998,14.230382775119665,15.019999999999982,12.45999999999998
34,92128,2018,36.661378860374214,38.24000000000001,34.31999999999999,14.117868638538539,15.400000000000034,13.199999999999989
35,92128,2020,35.848510221835625,38.110000000000014,32.370000000000005,15.737781644193205,16.569999999999993,14.5
36,92106,2010,25.425192307692328,32.920000000000016,20.860000000000014,13.127473557692213,14.600000000000023,10.840000000000032
37,92106,2012,26.381680288461553,32.56,21.5,14.619737980769173,15.639999999999986,13.840000000000032
38,92106,2014,28.64779326923076,35.379999999999995,23.560000000000002,16.122836538461513,17.69999999999999,13.560000000000002
39,92106,2016,26.283314903846133,33.139999999999986,20.980000000000018,14.318293269230708,15.340000000000032,13.840000000000032
40,92106,2018,27.430759615384545,33.45999999999998,22.100000000000023,13.61272115384611,14.680000000000007,11.730000000000018
41,92106,2020,27.91249519230763,34.48000000000002,22.879999999999995,15.600396634615379,16.420000000000016,14.680000000000007
42,92126,2010,34.951727840473325,38.54000000000002,31.100000000000023,13.336465432233979,14.519999999999982,11.70999999999998
43,92126,2012,35.77520105182424,40.01999999999998,31.560000000000002,14.27428508819986,15.639999999999986,12.819999999999993
44,92126,2014,38.532036813849004,43.74000000000001,35.45999999999998,16.211124137175375,17.340000000000032,14.670000000000016
45,92126,2016,34.704805522077265,37.900000000000034,30.939999999999998,14.134553522515546,15.269999999999982,12.400000000000034
46,92126,2018,36.39581023337354,41.379999999999995,32.60000000000002,13.79143201490075,14.680000000000007,12.230000000000018
47,92126,2020,35.95380409773202,39.94,31.139999999999986,15.347799934260934,16.49000000000001,14.120000000000005
48,92124,2010,35.51970331815227,38.079999999999984,33.34000000000003,12.905402732595974,14.180000000000007,11.360000000000014
49,92124,2012,36.84545998698758,39.24000000000001,35.18000000000001,14.246646714378642,15.300000000000011,13.220000000000027
50,92124,2014,40.76399479505528,42.72000000000003,39.139999999999986,15.969184124918627,16.900000000000034,14.720000000000027
51,92124,2016,35.55644242029928,37.160000000000025,33.78000000000003,13.756166558230348,15.160000000000025,12.699999999999989
52,92124,2018,37.844871828236705,39.95999999999998,36.920000000000016,13.657605725439225,14.78000000000003,12.680000000000007
53,92124,2020,36.610175666883606,39.170000000000016,34.389999999999986,14.93170201691612,16.189999999999998,13.699999999999989
54,92120,2010,35.76615053050409,36.78000000000003,34.079999999999984,13.949073275862133,14.600000000000023,12.939999999999998
55,92120,2012,36.24522546419098,37.80000000000001,35.18000000000001,15.154267241379443,15.759999999999991,13.95999999999998
56,92120,2014,39.51698275862071,40.84000000000003,38.400000000000034,16.78013262599478,17.5,15.740000000000009
57,92120,2016,35.796825265252096,36.78000000000003,34.400000000000034,14.413990384615488,15.480000000000018,13.759999999999991
58,92120,2018,37.228564323607486,38.0,36.400000000000034,14.557732095490678,15.160000000000025,13.54000000000002
59,92120,2020,36.83543103448278,38.09000000000003,35.04000000000002,15.805445954907157,16.439999999999998,14.5
60,92119,2010,34.416534037337385,37.31999999999999,31.340000000000032,13.154331510465852,13.980000000000018,12.400000000000034
61,92119,2012,35.490597774844446,37.54000000000002,33.06,14.421414293795976,15.699999999999989,13.480000000000018
62,92119,2014,39.38626815010366,41.06,36.98000000000002,16.242421270978582,17.160000000000025,15.439999999999998
63,92119,2016,34.70572128983599,37.26999999999998,31.819999999999993,13.782492928531099,14.819999999999993,13.160000000000025
64,92119,2018,37.085958891193684,38.98000000000002,34.079999999999984,14.175474259852933,14.95999999999998,13.180000000000007
65,92119,2020,35.91840467659813,39.079999999999984,33.18000000000001,15.106522722986938,16.319999999999993,13.78000000000003
66,92122,2010,31.030202734559168,33.900000000000034,26.480000000000018,13.148371051390882,14.160000000000025,12.340000000000032
67,92122,2012,32.118462989156114,34.24000000000001,28.860000000000014,14.32371994342293,15.259999999999991,13.660000000000025
68,92122,2014,34.79491749174923,37.920000000000016,30.360000000000014,16.01410183875538,17.28000000000003,15.400000000000034
69,92122,2016,31.420136727958607,33.60000000000002,27.95999999999998,13.691023102310226,14.5,13.139999999999986
70,92122,2018,32.96495992456397,35.160000000000025,29.30000000000001,13.63400282885442,14.740000000000009,12.78000000000003
71,92122,2020,32.99075436115049,35.860000000000014,29.69999999999999,15.269587458745946,16.180000000000007,14.879999999999995
72,92123,2010,36.58038353739494,38.34000000000003,31.100000000000023,13.67596105620305,15.04000000000002,11.54000000000002
73,92123,2012,37.34105325269218,39.34000000000003,32.78000000000003,15.097318188523445,16.120000000000005,12.480000000000018
74,92123,2014,40.36170821655111,43.5,36.19999999999999,16.79833751290755,17.54000000000002,14.5
75,92123,2016,36.72212715739795,38.0,33.60000000000002,14.747204602448676,15.860000000000014,13.019999999999982
76,92123,2018,38.17822097654522,40.72000000000003,34.28000000000003,14.392074052220153,15.079999999999984,12.379999999999995
77,92123,2020,37.90763091901465,40.06,34.139999999999986,16.038381767222347,16.670000000000016,13.509999999999991
