,polygon,year,lst_day_mean,lst_day_max,lst_day_min,lst_night_mean,lst_night_max,lst_night_min
50,90058,2014,44.449502824858655,45.22000000000003,43.379999999999995,16.959915254237274,17.660000000000025,16.69999999999999
51,90058,2016,41.15097175141233,41.98000000000002,39.900000000000034,15.247700564971694,15.800000000000011,14.939999999999998
52,90058,2018,41.54922033898305,42.400000000000034,40.25999999999999,14.905954802259828,15.379999999999995,14.579999999999984
53,90058,2020,43.49214124293786,44.45999999999998,42.34000000000003,16.56238135593219,17.319999999999993,16.079999999999984
54,90007,2010,38.320459183673506,39.31999999999999,37.68000000000001,15.199887755101997,15.740000000000009,14.300000000000011
55,90007,2012,39.87476530612241,40.74000000000001,39.48000000000002,16.778459183673533,17.160000000000025,16.139999999999986
56,90007,2014,42.00447959183674,42.98000000000002,41.10000000000002,17.746020408163247,18.120000000000005,17.120000000000005
57,90007,2016,38.92791836734693,39.860000000000014,37.879999999999995,15.929846938775484,16.120000000000005,15.28000000000003
58,90007,2018,39.99622448979585,40.78000000000003,39.06,15.543173469387796,15.920000000000016,14.860000000000014
59,90007,2020,40.66883673469391,42.18000000000001,39.160000000000025,17.07508673469397,17.620000000000005,16.400000000000034
60,90014,2010,39.21814159292035,39.420000000000016,37.69999999999999,15.762212389380522,16.24000000000001,15.079999999999984
61,90014,2012,40.86849557522123,41.120000000000005,39.45999999999998,17.25840707964602,17.45999999999998,17.24000000000001
62,90014,2014,42.713362831858376,42.94,40.660000000000025,17.70610619469028,18.439999999999998,17.5
63,90014,2016,39.22761061946903,39.44,37.84000000000003,16.193008849557486,16.480000000000018,16.160000000000025
64,90014,2018,40.281592920354,40.51999999999998,38.51999999999998,15.856814159292014,16.420000000000016,15.740000000000009
65,90014,2020,41.008318584070764,42.0,39.06,17.37172566371686,17.439999999999998,17.269999999999982
